,Hotel Name,Hotel Price,Hotel Bedrooms,Hotel Summery,Hotel Update Date
10, L'AbriPoitou-Charentes, From £950 /Week," Villa, Bedroom(s): 3, Sleeps: 6", The villa has a 4-star rating with Gites de France. A characterful villa in an area that is great for family holidays., ID#: 1334 |  Last update: 22-Jun-2022
11, Quillan house with rooftop terraceLanguedoc-Roussillon, From £86 /Night," House, Bedroom(s): 3, Sleeps: 6", Set on a quiet street but in the centre of Quillan this lovely house has everything you need for a comfortable stay and the added bonus of amazing views from the rooftop terrace., ID#: 1323 |  Last update: 22-Apr-2022
12, Les Deux SabotsLower-Normandy, From £340 /Week," Cottage, Bedroom(s): 1, Sleeps: 2", A small three story cottage in the sleepy village of Bréel in the wonderful hills of Swiss Normandy.  Names after the clogs of workers., ID#: 1327 |  Last update: 07-Jun-2022
13, 4 star gite with private pool in the heart of the Dordogne areaAquitaine, From £875 /Week," Farmhouse, Bedroom(s): 2, Sleeps: 5"," 4 star gite with private pool, located in the village of Vaunac. This old farm has been carefully restored keeping its original character and can accommodate up to five people (in two bedrooms).", ID#: 1333 |  Last update: 07-Jun-2022
14, Luxury 2 bed cottage with JacuzziLanguedoc-Roussillon, From £100 /Night," Cottage, Bedroom(s): 2, Sleeps: 4", Relax and spoil yourselves in our gorgeous rural retreat., ID#: 1318 |  Last update: 05-Apr-2022
15, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
16, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
17, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
18, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
19, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
20, Quillan house with rooftop terraceLanguedoc-Roussillon, From £86 /Night," House, Bedroom(s): 3, Sleeps: 6", Set on a quiet street but in the centre of Quillan this lovely house has everything you need for a comfortable stay and the added bonus of amazing views from the rooftop terrace., ID#: 1323 |  Last update: 22-Apr-2022
21, Les Deux SabotsLower-Normandy, From £340 /Week," Cottage, Bedroom(s): 1, Sleeps: 2", A small three story cottage in the sleepy village of Bréel in the wonderful hills of Swiss Normandy.  Names after the clogs of workers., ID#: 1327 |  Last update: 07-Jun-2022
22, 4 star gite with private pool in the heart of the Dordogne areaAquitaine, From £875 /Week," Farmhouse, Bedroom(s): 2, Sleeps: 5"," 4 star gite with private pool, located in the village of Vaunac. This old farm has been carefully restored keeping its original character and can accommodate up to five people (in two bedrooms).", ID#: 1333 |  Last update: 07-Jun-2022
23, Luxury 2 bed cottage with JacuzziLanguedoc-Roussillon, From £100 /Night," Cottage, Bedroom(s): 2, Sleeps: 4", Relax and spoil yourselves in our gorgeous rural retreat., ID#: 1318 |  Last update: 05-Apr-2022
24, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
25, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
26, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
27, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
28, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
29, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
30, Les Deux SabotsLower-Normandy, From £340 /Week," Cottage, Bedroom(s): 1, Sleeps: 2", A small three story cottage in the sleepy village of Bréel in the wonderful hills of Swiss Normandy.  Names after the clogs of workers., ID#: 1327 |  Last update: 07-Jun-2022
31, 4 star gite with private pool in the heart of the Dordogne areaAquitaine, From £875 /Week," Farmhouse, Bedroom(s): 2, Sleeps: 5"," 4 star gite with private pool, located in the village of Vaunac. This old farm has been carefully restored keeping its original character and can accommodate up to five people (in two bedrooms).", ID#: 1333 |  Last update: 07-Jun-2022
32, Luxury 2 bed cottage with JacuzziLanguedoc-Roussillon, From £100 /Night," Cottage, Bedroom(s): 2, Sleeps: 4", Relax and spoil yourselves in our gorgeous rural retreat., ID#: 1318 |  Last update: 05-Apr-2022
33, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
34, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
35, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
36, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
37, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
38, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
39, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
40, 4 star gite with private pool in the heart of the Dordogne areaAquitaine, From £875 /Week," Farmhouse, Bedroom(s): 2, Sleeps: 5"," 4 star gite with private pool, located in the village of Vaunac. This old farm has been carefully restored keeping its original character and can accommodate up to five people (in two bedrooms).", ID#: 1333 |  Last update: 07-Jun-2022
41, Luxury 2 bed cottage with JacuzziLanguedoc-Roussillon, From £100 /Night," Cottage, Bedroom(s): 2, Sleeps: 4", Relax and spoil yourselves in our gorgeous rural retreat., ID#: 1318 |  Last update: 05-Apr-2022
42, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
43, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
44, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
45, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
46, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
47, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
48, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
49, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
50, Luxury 2 bed cottage with JacuzziLanguedoc-Roussillon, From £100 /Night," Cottage, Bedroom(s): 2, Sleeps: 4", Relax and spoil yourselves in our gorgeous rural retreat., ID#: 1318 |  Last update: 05-Apr-2022
51, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
52, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
53, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
54, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
55, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
56, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
57, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
58, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
59, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
60, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
61, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
62, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
63, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
64, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
65, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
66, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
67, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
68, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
69, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
70, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
71, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
72, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
73, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
74, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
75, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
76, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
77, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
78, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
79, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
80, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
81, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
82, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
83, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
84, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
85, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
86, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
87, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
88, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
89, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
90, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
91, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
92, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
93, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
94, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
95, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
96, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
97, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
98, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
99, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
100, Converted barn 2 bed family giteMidi-Pyrenees, From £539 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," Situated beside a quiet lane just outside the historical village of Termes d’Armagnac, this is the perfect “away from it all” family gite.", ID#: 1315 |  Last update: 22-Jun-2022
101, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
102, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
103, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
104, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
105, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
106, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
107, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
108, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
